prefab	client	worker
TreeDessert2	yes	yes
TreeDessert3	yes	yes
TreeDessertLeaf1	yes	yes
TreeDessertLeaf2	yes	yes
TreeOrange	yes	yes
TreePalm1	yes	yes
TreePalm2	yes	yes
TreePalm3	yes	yes
TreePalm4	yes	yes
TreePalm5	yes	yes
TreePalmBlue1	yes	yes
TreePalmBlue2	yes	yes
TreePalmBlue3	yes	yes
TreePalmBlue4	yes	yes
TreePalmBlue5	yes	yes
TreePalmBranchesGreen	yes	yes
TreePalmBranchesPink	yes	yes
TreePalmShortLeaves1	yes	yes
TreePalmShortLeaves2	yes	yes
TreePalmShortLeaves3	yes	yes
TreePalmShortLeaves4	yes	yes
TreePalmShortLeaves5	yes	yes
TreePalmStubby	yes	yes
TreePalmStubby02	yes	yes
TreeSpawnerEquip	yes	yes
TreeStraightBlue	yes	yes
TreeStraightDarkGreen	yes	yes
TreeStraightPink	yes	yes
TreeStraightRed	yes	yes
TreeWonky1Leaf1	yes	yes
TreeWonky1Leaf2	yes	yes
TreeWonky1Leaf3	yes	yes
TreeWonky1Leaf4	yes	yes
TreeWonky1Leaf5	yes	yes
TreeWonky1Leaf6	yes	yes
TreeWonky1Leaf7	yes	yes
TreeWonky1LongLeaf2	yes	yes
TreeWonky1LongLeaf7	yes	yes
TreeWonky2Leaf2	yes	yes
TreeWonky2Leaf3	yes	yes
TreeWonky2Leaf4	yes	yes
TreeWonky2Leaf5	yes	yes
TreeWonky2Leaf6	yes	yes
TreeWonky2Leaf7	yes	yes
TreeWonky2LongLeaf2	yes	yes
TreeWonky2LongLeaf7	yes	yes
TreeWonky3Leaf1	yes	yes
TreeWonky3Leaf2	yes	yes
TreeWonky3Leaf3	yes	yes
TreeWonky3Leaf4	yes	yes
TreeWonky3Leaf5	yes	yes
TreeWonky3Leaf6	yes	yes
TreeWonky3Leaf7	yes	yes
TreeWonky3LongLeaf2	yes	yes
TreeWonky3LongLeaf7	yes	yes
TreeWonky4Leaf1	yes	yes
TreeWonky4Leaf2	yes	yes
TreeWonky4Leaf3	yes	yes
TreeWonky4Leaf4	yes	yes
TreeWonky4Leaf5	yes	yes
TreeWonky4Leaf6	yes	yes
TreeWonky4Leaf7	yes	yes
TreeWonky4LongLeaf2	yes	yes
TreeWonky4LongLeaf7	yes	yes
TurretElectric	yes	yes
TurretEquip	yes	yes
TurretExplosive	yes	yes
TurretExplosiveKioki	yes	yes
TurretExplosiveProjectile	yes	yes
TurretHeavy	yes	yes
TurretHeavyKioki	yes	yes
TurretHeavyProjectile	yes	yes
TurretLight	yes	yes
TurretLightProjectile	yes	yes
TurretSnare	yes	yes
WallSegment	yes	yes
WeatherCell	yes	yes
Window01	yes	yes
WiringKit	yes	yes
WoodPanel01	yes	yes
WoodPanel02	yes	yes
WoodPanel03	yes	yes
WoodlandTreeBareLarge	yes	yes
WoodlandTreeBareSmall	yes	yes
WoodlandTreeBareVeryLarge	yes	yes
WoodlandTreeFoliageLarge	yes	yes
WoodlandTreeFoliageSmall	yes	yes
WoodlandTreeFoliageVeryLarge	yes	yes
marauder_drums	yes	yes
metal_deposit_entity	yes	yes
metal_harvest_rock_piece1	yes	yes
metal_harvest_rock_piece10	yes	yes
metal_harvest_rock_piece11	yes	yes
metal_harvest_rock_piece12	yes	yes
metal_harvest_rock_piece13	yes	yes
metal_harvest_rock_piece14	yes	yes
metal_harvest_rock_piece15	yes	yes
metal_harvest_rock_piece16	yes	yes
metal_harvest_rock_piece17	yes	yes
metal_harvest_rock_piece18	yes	yes
metal_harvest_rock_piece19	yes	yes
metal_harvest_rock_piece2	yes	yes
metal_harvest_rock_piece20	yes	yes
metal_harvest_rock_piece3	yes	yes
metal_harvest_rock_piece4	yes	yes
metal_harvest_rock_piece5	yes	yes
metal_harvest_rock_piece6	yes	yes
metal_harvest_rock_piece7	yes	yes
metal_harvest_rock_piece8	yes	yes
metal_harvest_rock_piece9	yes	yes
metal_scrap_3	yes	yes
metal_scrap_4	yes	yes
placementScannerTool	yes	yes
salvageRepairTool	yes	yes
tom	yes	yes
treewonky2Leaf1	yes	yes
