# [Require] map for prefab root: Traveller@Player_unityclient

class	enabled	require_type	component	componentId
ScannerToolBehaviour	0	ScannerToolStateWriter	ScannerToolState	2108
PlayerPistolBehaviour	0	PlayerPistolStateReader	PlayerPistolState	1249
PlayerPistolBehaviour	0	PistolStateWriter	PistolState	1096
PlayerMusicalInstrumentBehaviour	0	MusicalInstrumentStateWriter	MusicalInstrumentState	1023
ImprobablePrefabProvider	1	-		
PlayerPlacementToolBehaviour	0	PlacementToolPlayerStateWriter	PlacementToolPlayerState	1239
PlacementPreview	1	-		
ShipPartPlacement	1	-		
NonPooling	1	-		
FixedUpdateTransformNature	1	-		
TransformOffsetsRegistry	1	-		
TransformParentHierarchyBehaviour	0	TransformHierarchyStateReader	TransformHierarchyState	190601
RelativeParentTransformChildHierarchyBehaviour	0	-		
FixedUpdateExactLocalTransformBehaviour	0	TransformStateReader	TransformState	190602
LocalTransformUpdaterBehaviour	0	TransformStateWriter	TransformState	190602
LocalTransformTeleportBehaviour	0	TransformStateWriter	TransformState	190602
LocalTransformTeleportBehaviour	0	TeleportAckStateWriter	TeleportAckState	190606
LocalTransformTeleportBehaviour	0	TeleportRequestStateReader	TeleportRequestState	190607
PlayerTutorialMessages	1	-		
ItemPlacingBehaviour	0	ItemPlacingStateWriter	ItemPlacingState	1017
ItemPlacingBehaviour	0	ItemPlacementAgentStateReader	ItemPlacementAgentState	1019
UtilitySlotActivatedBehaviour	0	UtilitySlotActivatedStateWriter	UtilitySlotActivatedState	6910
MountedGunShooterBehaviour	0	MountedGunShotState.Writer	MountedGunShotState	4444
MountedGunShooterBehaviour	0	TurretControlInput.Reader	TurretControlInput	1112
MountedGunShooterVisualizer	0	MountedGunShotState.Reader	MountedGunShotState	4444
MountedGunShooterVisualizer	0	PilotState.Reader	PilotState	1109
LorePiecesCollectorVisualizer	0	LorePiecesCollectorClientStateWriter	LorePiecesCollectorClientState	1241
LorePiecesCollectorVisualizer	0	LorePiecesCollectorGsimStateReader	LorePiecesCollectorGsimState	1240
BuilderVisualizer	0	BuilderServerStateReader	BuilderServerState	1071
InventoryVisualiser	0	InventoryState.Reader	InventoryState	1081
InventoryVisualiser	0	SchematicsLearnerClientState.Reader	SchematicsLearnerClientState	1079
InventoryVisualiser	0	SchematicsLearnerGSimState.Reader	SchematicsLearnerGSimState	1080
InventoryVisualiser	0	KnowledgeServerState.Reader	KnowledgeServerState	1332
InventoryVisualiser	0	GamePropertiesState.Reader	GamePropertiesState	1040
InventoryVisualiser	0	SchematicsUnlearnerState.Writer	SchematicsUnlearnerState	1260
MyPlayerIdVisualizer	0	PlayerNameReader	PlayerName	1086
PilotVisualizer	0	PilotStateReader	PilotState	1109
WorldStateVisualizer	0	WorldDataReader	WorldData	1131
ChatVisualizer	0	ChatListenerReader	ChatListener	1001
ChatVisualizer	0	NewChatListener.Writer	NewChatListener	9002
CameraCursorControlsVisualiser	0	RopeControlPointsReader	RopeControlPoints	1098
FSimLagDetectionBehaviour	0	ClientPhysicsLatencyReplyReader	ClientPhysicsLatencyReply	190301
FSimLagDetectionBehaviour	0	ClientPhysicsLatencyWriter	ClientPhysicsLatency	190300
GSimLagDetectionBehaviour	0	EngineLatencyWriter	EngineLatency	190302
GSimLagDetectionBehaviour	0	EngineLatencyReplyReader	EngineLatencyReply	190303
InteractAgentObserver	0	InteractAgentServerStateReader	InteractAgentServerState	1212
InteractAgentObserver	0	InteractAgentStateWriter	InteractAgentState	1211
InteractAgentObserver	0	PlayerPropertiesStateReader	PlayerPropertiesState	1088
TimedInteractionController	1	-		
SalvagerAimerObserver	0	SalvagerAimerStateWriter	SalvagerAimerState	1231
PlayerCraftingInteractionBehaviour	0	PlayerCraftingInteractionStateWriter	PlayerCraftingInteractionState	1003
PlayerCraftingInteractionBehaviour	0	InteractAgentStateReader	InteractAgentState	1211
ReferenceDataVisualiser	0	ReferenceDataStateReader	ReferenceDataState	1097
ReferenceDataVisualiser	0	ReferenceDataRequestStateWriter	ReferenceDataRequestState	6908
InventoryModificationBehaviour	0	InventoryModificationStateWriter	InventoryModificationState	1082
InventoryModificationBehaviour	0	PlayerPermissionsStateReader	PlayerPermissionsState	1087
InteractAgentVisualiser	0	InteractAgentStateReader	InteractAgentState	1211
InteractAgentVisualiser	0	InteractAgentServerStateReader	InteractAgentServerState	1212
PlayerExternalDataVisualizer	0	PilotStateReader	PilotState	1109
PlayerExternalDataVisualizer	0	HealthStateReader	HealthState	1160
PlayerExternalDataVisualizer	0	ShipHullAgentStateReader	ShipHullAgentState	1207
RopeObserver	0	RopeControlPointsWriter	RopeControlPoints	1098
PlayerFeedbackBehaviour	0	PlayerFeedbackStateWriter	PlayerFeedbackState	1085
RespawnVisualizer	0	RespawnStateReader	RespawnState	1092
RespawnVisualizer	0	RespawnClientStateWriter	RespawnClientState	1093
RespawnVisualizer	0	TeleportRequestStateReader	TeleportRequestState	190607
RespawnVisualizer	0	TransformStateReader	TransformState	190602
RespawnVisualizer	0	CharacterControlsDataWriter	CharacterControlsData	1072
RespawnVisualizer	0	HealthStateReader	HealthState	1160
PlayerAttachedVisualizer	0	TransformStateReader	TransformState	190602
UIFocusObserver	1	-		
ChatSpeak	0	ChatSpeakerWriter	ChatSpeaker	1002
ChatSpeak	0	NewChatListener.Writer	NewChatListener	9002
ChatSpeak	0	NewChatSpeaker.Reader	NewChatSpeaker	9003
ChatSpeak	0	PlayerPermissionsStateReader	PlayerPermissionsState	1087
ChatSpeak	0	PlayerName.Reader	PlayerName	1086
ChatSpeak	0	AllianceAndCrewWorkerState.Reader	AllianceAndCrewWorkerState	6925
ChatSpeak	0	CrewMembershipState.Reader	CrewMembershipState	6900
ChatSpeak	0	PlayerOnlineList.Reader	PlayerOnlineList	9004
BuilderObserver	0	BuilderStateWriter	BuilderState	1070
ShipControlsBehaviour	0	ShipControlInputWriter	ShipControlInput	1111
ShipControlsBehaviour	0	TurretControlInputWriter	TurretControlInput	1112
ShipControlsBehaviour	0	PilotStateReader	PilotState	1109
CustomisationSenderVisualiser	0	CustomisationSenderStateWriter	CustomisationSenderState	1074
CustomisationSenderVisualiser	0	PlayerPropertiesStateReader	PlayerPropertiesState	1088
PhotoBookVisualizer	0	PhotoBookClientStateWriter	PhotoBookClientState	1024
PhotoBookVisualizer	0	PhotoBookServerStateReader	PhotoBookServerState	1025
PhotoBookVisualizer	0	PlayerNameReader	PlayerName	1086
HealthUIVisualizer	0	HealthStateReader	HealthState	1160
PlayerPropertiesVisualiser	0	PlayerPropertiesStateReader	PlayerPropertiesState	1088
PlayerPropertiesVisualiser	0	PlayerPropertiesClientStateWriter	PlayerPropertiesClientState	6909
PlayerPushBehaviour	0	PlayerPushingStateWriter	PlayerPushingState	1141
PlayerPushBehaviour	0	TransformStateReader	TransformState	190602
PlayerAnalytics	0	PlayerAnalyticsStateReader	PlayerAnalyticsState	2001
PlayerAnalytics	0	PlayerNameReader	PlayerName	1086
PlayerAnalytics	0	HealthStateReader	HealthState	1160
PlayerAnalytics	0	KnowledgeServerStateReader	KnowledgeServerState	1332
PlayerAnalytics	0	InventoryStateReader	InventoryState	1081
PlayerAnalytics	0	SchematicsLearnerClientStateReader	SchematicsLearnerClientState	1079
LockAgentVisualizer	0	UnlockingAgentClientStateWriter	UnlockingAgentClientState	1221
LockAgentVisualizer	0	UnlockingAgentStateReader	UnlockingAgentState	1220
LockAgentVisualizer	0	ShipyardVisitorStateReader	ShipyardVisitorState	1219
LogoutBehaviour	0	LogoutStateWriter	LogoutState	1145
LogoutBehaviour	0	ServerLogoutStateReader	ServerLogoutState	1146
LogoutBehaviour	0	PlayerNameReader	PlayerName	1086
LogoutBehaviour	0	ClientAuthoritativePlayerStateReader	ClientAuthoritativePlayerState	1073
BossaEntityLoadingChecker	0	EntityLoadingControlReader	EntityLoadingControl	190000
BossaEntityLoadingChecker	0	EntityLoadingResponseWriter	EntityLoadingResponse	190001
PlayerActivationVisualiser	0	ActivatedReader	Activated	190002
PlayerActivationVisualiser	0	EntityLoadingControlReader	EntityLoadingControl	190000
PlayerActivationVisualiser	0	PlayerActivationStateReader	PlayerActivationState	1150
ShipyardVisitorVisualizer	0	ShipyardVisitorStateReader	ShipyardVisitorState	1219
ShipyardVisitorVisualizer	0	BuilderServerStateReader	BuilderServerState	1071
CameraSelectionVisualizer	0	PilotStateReader	PilotState	1109
CameraSelectionVisualizer	0	TransformStateReader	TransformState	190602
CameraSelectionVisualizer	0	ShipHullAgentStateReader	ShipHullAgentState	1207
ShipHullAgentVisualizer	0	ShipHullAgentStateReader	ShipHullAgentState	1207
ShipHullAgentVisualizer	0	ShipHullAgentClientStateWriter	ShipHullAgentClientState	1208
PlayerShipBlueprintInteractionBehaviour	0	PlayerShipBlueprintInteractionState.Writer	PlayerShipBlueprintInteractionState	1270
PlayerShipBlueprintInteractionBehaviour	0	GsimShipBlueprintInteractionState.Reader	GsimShipBlueprintInteractionState	1274
PlayerLocalTransformBehaviour	0	TransformStateReader	TransformState	190602
CrewManagementVisualiser	0	CrewClientInterfaceStateWriter	CrewClientInterfaceState	6901
CrewManagementVisualiser	0	CrewMembershipStateReader	CrewMembershipState	6900
AllianceAndCrewVisualiser	0	AllianceAndCrewWorkerState.Reader	AllianceAndCrewWorkerState	6925
QuestManager	0	PlayerQuestState.Writer	PlayerQuestState	8053
QuestManager	0	PlayerQuestRequestState.Reader	PlayerQuestRequestState	8054
MultitoolCraftingBehaviour	0	CraftingStationClientState.Reader	CraftingStationClientState	1005
ShotValidationBehaviour	0	ShotValidationRequestStateWriter	ShotValidationRequestState	1247
NewPlayerVisualiser	0	NewPlayerState.Reader	NewPlayerState	8055
ToolBehaviour	0	ToolRequestState.Writer	ToolRequestState	8050
ToolBehaviour	0	ToolState.Reader	ToolState	8051
PlayerBuffBehaviour	0	PlayerBuffState.Reader	PlayerBuffState	4329
FeedbackVisualizer	0	FeedbackListener.Reader	FeedbackListener	8060
ClientRigidbodyManager	1	-		
CameraProxyLocator	1	-		
FSimTimeVisualiser	0	FSimTimeStateReader	FSimTimeState	1095
FSimTimeVisualiser	0	ClientPhysicsLatencyReader	ClientPhysicsLatency	190300
ProxySchematicsDetectionBehaviour	0	ProxySchematicsClientStateWriter	ProxySchematicsClientState	4339
EacClientPlayerBehaviour	0	EACClientPlayerState.Writer	EACClientPlayerState	6911
EacClientPlayerBehaviour	0	EACFsimPlayerState.Reader	EACFsimPlayerState	6912
PlayerHotbarVisualizer	0	InteractAgentState.Reader	InteractAgentState	1211
AllianceClientBehaviour	0	AllianceClientState.Writer	AllianceClientState	6922
CrewClientBehaviour	0	CrewClientState.Writer	CrewClientState	6923
CrewClientBehaviour	0	CrewBeaconNotifier.Reader	CrewBeaconNotifier	6913
CrewClientBehaviour	0	FSimTimeState.Reader	FSimTimeState	1095
CrewClientBehaviour	0	NewChatSpeaker.Reader	NewChatSpeaker	9003
SlotsVisualiser	1	-		
PlayerGenderVisualizer	0	PlayerPropertiesStateReader	PlayerPropertiesState	1088
PlayerObserverCamVisualizer	0	PlayerPropertiesState.Reader	PlayerPropertiesState	1088
