By: Ryu_Khan#3747 / Simayi,,,https://discord.gg/5DhwptR,,,,,,,
White fill = tested via salvager,,,,,,,,,,
Grey fill = deduced based on observed trends,,,,,,,,,,
Wood = Work in Progress,,,,,,,,,,
60,,,,,,,,,,
Large Panel - 60 Resilience (Number of Salvage Pulses or Cannon Shots until Large Panel falls off),,,,,,,,,,
Wt (Kg),Metal,Pulses,Salvaged,Falloff (secs),Pulse/Res,Cannon Shot,,,,
15.2,Iron1,165,30,126.5,2.75,,,,,
15.2,Iron2,166,30,127.3,2.77,,,,,
15.2,Iron3,168,30,128.8,2.80,,,,,
15.2,Iron4,170,30,130.3,2.83,,,,,
15.2,Iron5,171,30,131.1,2.85,,,,,
15.2,Iron6,176,30,134.9,2.93,,,,,
15.2,Iron7,180,30,138.0,3.00,,,,,
15.2,Iron8,182,30,139.5,3.03,,,,,
15.2,Iron9,184,30,141.1,3.07,,,,,
15.2,Iron10,187,30,143.4,3.12,12,40,124.6666667,8,15.58333333
22,Silver1,158,30,121.1,2.63,,,,,
22,Silver2,161,30,123.4,2.68,,,,,
22,Silver3,163,30,125.0,2.72,,,,,
22,Silver4,166,30,127.3,2.77,,,,,
22,Silver5,168,30,128.8,2.80,,,,,
22,Silver6,171,30,131.1,2.85,,,,,
22,Silver7,173,30,132.6,2.88,,,,,
22,Silver8,176,30,134.9,2.93,,,,,
22,Silver9,178,30,136.5,2.97,,,,,
22,Silver10,181,30,138.8,3.02,,,,,
13.6,Tin1,155,30,118.8,2.58,,,,,
13.6,Tin2,157,30,120.4,2.62,,,,,
13.6,Tin3,159,30,121.9,2.65,,,,,
13.6,Tin4,161,30,123.4,2.68,,,,,
13.6,Tin5,163,30,125.0,2.72,,,,,
13.6,Tin6,165,30,126.5,2.75,,,,,
13.6,Tin7,168,30,128.8,2.80,,,,,
13.6,Tin8,170,30,130.3,2.83,,,,,
13.6,Tin9,172,30,131.9,2.87,,,,,
13.6,Tin10,174,30,133.4,2.90,,,,,
27.6,Gold1,150,30,115.0,2.50,,,,,
27.6,Gold2,152,30,116.5,2.53,,,,,
27.6,Gold3,154,30,118.1,2.57,,,,,
27.6,Gold4,156,30,119.6,2.60,,,,,
27.6,Gold5,158,30,121.1,2.63,,,,,
27.6,Gold6,160,30,122.7,2.67,,,,,
27.6,Gold7,162,30,124.2,2.70,,,,,
27.6,Gold8,164,30,125.7,2.73,,,,,
27.6,Gold9,166,30,127.3,2.77,,,,,
27.6,Gold10,168,30,128.8,2.80,,,,,
16.8,Bronze1,145,30,111.2,2.42,,,,,
16.8,Bronze2,147,30,112.7,2.45,,,,,
16.8,Bronze3,149,30,114.2,2.48,,,,,
16.8,Bronze4,151,30,115.8,2.52,,,,,
16.8,Bronze5,153,30,117.3,2.55,,,,,
16.8,Bronze6,155,30,118.8,2.58,,,,,
16.8,Bronze7,156,30,119.6,2.60,,,,,
16.8,Bronze8,158,30,121.1,2.63,,,,,
16.8,Bronze9,160,30,122.7,2.67,,,,,
16.8,Bronze10,162,30,124.2,2.70,,,,,
24,Lead1,139,30,106.6,2.32,,,,,
24,Lead2,140,30,107.3,2.33,,,,,
24,Lead3,142,30,108.9,2.37,,,,,
24,Lead4,143,30,109.6,2.38,,,,,
24,Lead5,145,30,111.2,2.42,,,,,
24,Lead6,144,30,110.4,2.40,,,,,
24,Lead7,146,30,111.9,2.43,,,,,
24,Lead8,147,30,112.7,2.45,,,,,
24,Lead9,147,30,112.7,2.45,,,,,
24,Lead10,149,30,114.2,2.48,,,,,
,Hemlock1,,,,,,,,,
,Hemlock2,,,,,,,,,
,Hemlock3,,,,,,,,,
,Hemlock4,,,,,,,,,
,Hemlock5,,,,,,,,,
,Hemlock6,,,,,,,,,
,Hemlock7,,,,,,,,,
,Hemlock8,,,,,,,,,
,Hemlock9,,,,,,,,,
,Hemlock10,156,30,,2.60,10,,,,
,Birch1,,,,,,,,,
,Birch2,,,,,,,,,
,Birch3,,,,,,,,,
,Birch4,,,,,,,,,
,Birch5,,,,,,,,,
,Birch6,,,,,,,,,
,Birch7,,,,,,,,,
,Birch8,,,,,,,,,
,Birch9,,,,,,,,,
,Birch10,,,,,,,,,
,Oak1,,,,,,,,,
,Oak2,,,,,,,,,
,Oak3,,,,,,,,,
,Oak4,,,,,,,,,
,Oak5,,,,,,,,,
,Oak6,,,,,,,,,
,Oak7,,,,,,,,,
,Oak8,,,,,,,,,
,Oak9,,,,,,,,,
,Oak10,,,,,,,,,
,Chestnut1,,,,,,,,,
,Chestnut2,,,,,,,,,
,Chestnut3,,,,,,,,,
,Chestnut4,,,,,,,,,
,Chestnut5,,,,,,,,,
,Chestnut6,,,,,,,,,
,Chestnut7,,,,,,,,,
,Chestnut8,,,,,,,,,
,Chestnut9,,,,,,,,,
,Chestnut10,,,,,,,,,
,Cedar1,,,,,,,,,
,Cedar2,,,,,,,,,
,Cedar3,,,,,,,,,
,Cedar4,,,,,,,,,
,Cedar5,,,,,,,,,
,Cedar6,,,,,,,,,
,Cedar7,,,,,,,,,
,Cedar8,,,,,,,,,
,Cedar9,,,,,,,,,
,Cedar10,,,,,,,,,
,Elm1,,,,,,,,,
,Elm2,,,,,,,,,
,Elm3,,,,,,,,,
,Elm4,,,,,,,,,
,Elm5,,,,,,,,,
,Elm6,,,,,,,,,
,Elm7,,,,,,,,,
,Elm8,,,,,,,,,
,Elm9,,,,,,,,,
,Elm10,,,,,,,,,
