# Release-world tree GROUND PROFILES: how far the ground rises, in decimetres, at
# 16.0 m from each authored tree seat along each of 8 compass bearings.
#
# WHAT IT IS FOR: laying a felled log along the terrain with NO runtime terrain
# query. The game server has no collision mesh for the island it drops the trunk
# onto, so the slope it needs is baked here, ahead of time, one signed byte per
# seat per bearing. Read the bearings either side of the fall heading and tilt.
# The value is the SMALLEST rise for which a straight log line from the seat
# clears every sampled ground point along that bearing - it rests on the high
# side, it does not average.
#
# GENERATED by tools/world-import/generate-tree-ground-profiles.py from
# docs/research/world-data/island-surfaces/ and release-tree-placements.json.
# Regenerate it; do not hand-edit it.
#
# Covered 251 islands, 13266 seats. Skipped 1 islands (0 seats) with no authored
# seats or no extracted surface.
# schema 1 reach 16.0 bearings 8 corridor 4.0 deck 6.0 min-t 8.0 unknown -128
# Bearing 0 is +Z (island-local); each step is +45 degrees towards +X.
# '@' starts an island: '@ <workshopId> <seatCount>'. Then one line per seat, in
# release-tree-placements.json order: 8 signed decimetre integers, space separated.
@ 650186469 60
12 -24 -29 -39 0 20 17 14
@ 680025017 60
-6 3 1 -128 -128 -128 -128 0
52 28 30 -128 -32 -83 -15 38
1 106 113 112 72 -128 -128 15
-47 8 49 43 48 36 -12 -48
14 20 29 29 -9 -90 -55 -7
10 2 6 1 8 13 23 10
-1 -1 53 -128 -128 -128 -128 70
0 -128 -128 -128 -128 -128 -128 0
23 7 -11 -17 -9 2 8 21
9 -2 4 2 0 -5 -3 2
0 1 6 7 10 -2 -6 -5
5 6 3 -9 10 9 7 0
39 15 -16 -31 -25 -7 11 36
-128 -128 1 -5 -4 -6 -4 19
4 0 -128 -128 -128 -128 -128 -128
10 1 -7 -14 13 21 -128 15
0 -1 2 -128 39 10 0 -1
0 0 0 8 28 8 9 23
-2 -128 -128 -128 66 26 1 -5
-106 -4 35 21 13 -5 -128 -128
-128 30 1 -128 -128 -128 0 0
-8 -10 -3 -6 -8 -22 14 -14
15 3 -9 -128 -12 36 43 32
19 6 -2 -10 -7 -2 2 11
-11 -13 1 42 51 38 2 -13
7 -128 -128 -128 102 -128 -128 -23
-18 -16 -3 -9 4 11 13 -12
-128 -128 -128 9 33 33 14 0
3 10 9 1 -128 -128 -11 -11
1 -4 -7 0 -3 -6 -5 -5
11 -2 -16 -20 -17 -7 7 16
-35 -2 81 -128 -128 -128 1 -6
78 -128 -128 58 -49 -59 -49 5
-128 -22 -11 13 -128 12 0 13
-128 -128 -7 -34 -50 47 -128 -128
-6 -3 2 3 4 3 1 -7
-5 -128 -128 -44 79 -128 85 0
27 -128 -128 -128 -128 -128 -128 -98
-128 -128 -128 -128 -128 -128 -128 -128
-128 -128 0 -128 -128 -128 -128 -128
0 0 1 -2 23 35 36 64
-3 -128 -128 -128 -128 -128 -128 4
13 -5 7 1 -6 6 30 30
-10 -15 -11 4 19 16 17 -3
0 -66 -1 -1 8 -4 6 0
39 -2 -53 -128 -128 41 33 19
24 8 0 0 0 0 4 18
0 22 55 52 32 11 -29 -53
16 -128 -128 -15 -34 2 7 4
7 -6 -4 8 28 -128 36 17
-66 10 67 86 78 83 14 -128
-15 -128 0 8 16 26 16 -2
9 -128 -128 -128 -128 -128 1 13
-128 73 42 76 0 -61 0 -128
-12 61 22 -1 -4 -14 -15 -39
-9 -128 10 -128 1 -128 -128 8
2 5 6 0 -3 -4 -4 -8
17 12 0 -128 -59 7 14 15
15 23 27 0 -128 -128 -128 0
-16 -25 -16 3 27 25 17 -5
@ 682552495 60
-128 -6 7 -18 -13 6 7 6
-128 -38 23 -19 -30 -7 7 -43
-128 -128 22 24 29 79 84 -128
-128 52 2 -42 -9 -6 -26 -128
-44 -14 -10 -128 69 -128 -128 -128
-128 -128 -128 -128 -128 -128 -56 -60
-128 -128 -128 -53 -28 -62 45 -128
67 -128 -128 -128 77 -128 59 63
-1 14 36 37 14 12 5 -52
-52 -128 -128 16 108 -128 -128 59
53 66 -44 -128 15 15 18 22
118 27 -79 -128 -27 6 -12 -128
5 -3 -1 26 -128 -128 39 18
-128 -128 46 -10 -23 -24 11 18
53 21 -30 -69 -29 -4 -2 -19
-24 -11 -18 -25 -27 -16 16 -17
-128 -128 75 -128 -55 20 72 -128
-128 -128 -128 -59 -128 -128 -128 -47
34 32 26 2 -12 -93 -24 -3
-128 -128 -128 -128 -128 -84 -128 -69
10 -128 -128 -55 10 -128 45 10
-128 -128 34 -21 20 87 28 19
-128 0 -44 0 -128 -128 -53 -128
3 -2 -3 23 34 -1 -19 -18
-9 -128 -128 -128 -128 -128 -128 -128
-77 -128 -128 -128 55 -128 -36 -98
-111 -69 -78 -128 -53 -79 -57 -128
-128 -128 -128 -128 112 90 96 -69
-128 -128 -128 -128 0 -128 -128 0
-19 36 10 -4 0 -6 -6 -33
-64 30 32 72 -128 -64 96 10
-86 -70 -128 -128 58 -12 -128 68
6 75 79 -74 -27 19 -128 -128
3 55 61 56 56 -55 -57 -55
11 -128 -128 -28 22 -128 -128 -128
-70 -128 -14 -128 45 85 -128 30
47 3 2 -39 -19 3 64 44
41 -128 75 48 22 -45 27 65
-128 -128 -14 -128 -128 -128 -24 -128
46 0 -60 -67 -128 -128 0 8
-98 -33 -41 -128 -99 -128 -128 -128
-67 -128 -128 -45 -40 -128 -128 -69
-128 -128 -128 56 -128 -128 -128 -128
-57 -128 -128 -38 5 91 89 -128
13 -21 -15 38 -15 -128 41 -21
-1 1 36 -128 36 11 2 9
46 -128 70 -128 -128 -107 -113 -59
57 55 -128 -128 -128 -128 -128 7
-128 -128 -31 -15 -128 -128 -128 -2
-47 -24 14 95 96 39 14 -74
47 14 -128 -128 87 44 7 12
-78 -64 -49 -38 -88 -77 6 -20
-128 -128 -128 -27 -128 -128 -128 -128
-128 -128 -6 -128 -128 -128 -128 -128
70 0 2 -128 -128 -128 -128 13
4 -41 11 -63 -128 -128 -128 -128
39 9 58 8 -128 -128 -128 -128
23 4 -111 -128 -128 -128 2 31
-58 -20 5 26 7 22 28 -67
-128 -128 -26 39 55 48 52 -57
@ 742077672 31
34 13 9 13 -9 -7 4 2
7 31 -9 7 45 72 77 -7
1 20 33 -128 51 -2 -7 -17
-23 6 29 34 19 8 -128 -128
55 -22 -128 -14 13 20 40 57
18 -128 93 51 16 25 -6 11
-75 -86 -39 -30 -11 -73 -128 5
79 32 34 81 86 -128 84 66
12 57 26 2 -41 -128 -51 -23
-128 -9 -7 -22 -5 59 -128 50
1 -13 -55 -128 -22 15 24 7
-47 -128 33 -128 33 23 15 -8
23 22 4 -4 17 30 32 13
111 54 10 -128 -128 8 30 -128
41 40 45 11 -18 -128 16 15
2 24 33 20 16 -45 -58 -1
1 1 17 60 -128 38 49 1
1 -26 -69 -128 -24 -15 -3 -13
105 61 14 2 0 -17 -9 52
19 11 10 20 6 1 10 7
-8 -17 4 1 19 7 0 -13
3 27 14 45 44 35 37 16
-4 0 23 62 42 -14 -23 -32
0 -26 -7 -7 18 85 45 12
10 -128 119 6 -11 -4 -4 -22
-22 -17 41 -7 7 49 52 -20
30 23 11 3 20 36 -128 25
7 -8 -8 -15 -1 6 7 11
0 -128 -57 -128 -128 0 0 -128
-128 -128 4 21 25 8 -12 -128
-9 9 9 -128 -128 2 -16 -25
@ 746775124 20
-14 -27 -71 -54 -15 -44 -17 -20
-29 -16 -12 -6 -11 -4 4 -36
-5 -39 -128 -128 -43 -128 -128 8
5 11 5 3 7 -34 -14 -10
9 8 22 10 4 -16 17 1
-128 -128 28 1 0 -5 12 61
0 26 41 -25 -128 -13 -5 -11
-128 -128 -32 41 80 93 53 7
-6 1 48 -128 -7 41 11 -12
-128 -128 -23 -15 29 22 20 -128
-128 -128 -69 -46 -128 -128 -128 13
-8 15 5 -31 -24 -55 -128 -128
31 7 32 0 13 12 9 20
14 0 -5 2 -9 -18 -9 13
-8 -5 17 3 3 -128 -128 -128
-72 -55 -9 -14 -60 -42 -28 -50
-58 -42 8 26 -50 -128 -128 -66
-128 -47 7 20 47 -77 -46 -74
-64 -61 -57 9 25 40 -6 -41
-4 -18 -3 24 -6 -22 24 2
@ 766278426 56
0 0 0 0 0 1 3 0
0 0 0 0 11 11 8 0
8 -5 -3 -5 0 29 37 52
-37 -128 -101 -4 3 2 3 0
50 35 25 -1 -2 -2 24 38
11 12 -3 -128 -128 -128 -79 -7
6 -52 -128 -128 -128 -128 -7 7
2 -8 -27 -21 -3 -3 9 -3
10 -12 -2 -1 0 0 20 40
20 46 39 0 -1 -1 -1 0
0 2 -6 -128 -128 -8 3 1
3 29 40 19 8 25 42 3
-13 -2 34 26 34 24 36 -2
-5 53 56 67 25 29 -4 -4
28 -29 -22 -25 2 19 68 -128
0 0 0 -1 0 0 1 0
18 -6 -1 -1 2 2 -3 18
0 0 -1 0 0 -3 0 0
0 -23 -29 -28 0 0 0 0
-8 0 0 0 -1 0 0 -52
2 2 -1 4 30 43 7 3
-20 -27 0 0 0 -2 -18 -35
12 12 15 6 -13 -128 -17 0
-17 -1 -1 0 -1 -24 -21 -128
1 1 1 0 1 0 1 1
-128 -128 -128 -12 18 15 12 -128
2 1 1 1 3 2 2 2
0 0 37 56 71 5 0 -5
5 5 6 1 -75 -128 -54 -1
0 0 -3 -40 -40 -30 0 0
-1 -25 -1 0 0 0 0 -2
0 0 -40 -40 -21 0 0 -2
-59 -12 2 3 4 3 4 -128
36 27 5 16 38 27 -4 3
1 0 0 0 -15 -56 -40 -7
0 0 0 -23 0 0 0 -2
1 1 1 1 2 1 2 1
5 4 3 2 3 -2 -2 3
-40 -23 0 6 14 9 0 -3
13 -10 -8 -10 -7 30 17 8
-36 -54 -39 -1 2 2 2 -31
11 -1 29 -3 -26 -8 13 1
-3 -46 -2 0 0 -1 -1 0
-7 -16 -9 -15 -6 5 9 6
0 0 -1 -28 -1 -1 0 0
-2 0 1 1 0 0 0 -1
14 3 40 28 1 -27 5 29
-2 -65 -30 -5 0 -3 -3 -16
5 3 4 -128 -128 2 5 4
-1 0 0 -18 -128 -128 -4 -1
-14 -4 3 -1 0 1 1 -2
-1 -12 -14 -19 -13 1 2 0
-26 -6 2 -2 -35 -128 -35 -128
0 0 0 0 0 -5 -20 -3
3 7 11 8 -15 -48 -35 -44
10 8 43 41 11 1 1 5
@ 780038601 60
44 17 32 34 22 -12 -25 -14
19 7 42 15 9 -2 -1 -4
-60 -51 -43 25 50 27 -21 -64
5 4 6 -19 -49 -46 -15 6
47 79 74 88 68 6 24 -14
-128 -128 -128 95 98 39 42 70
44 -128 23 -19 -128 -128 -128 19
13 -128 0 7 -42 -17 0 44
19 -5 -4 -6 16 28 -4 0
16 -128 -128 -64 -16 -63 -128 -50
84 71 66 -14 37 60 27 11
-128 61 -3 -5 -4 -6 16 -128
-128 -9 5 5 -128 56 59 -128
-44 -22 60 -128 56 45 48 -22
0 -128 -128 -4 -128 -128 -51 -28
-44 -5 54 -128 83 57 -11 -43
-128 -128 53 -128 -128 -128 30 11
65 51 31 26 -128 52 55 18
-128 -128 35 -32 -19 -27 -4 -128
23 27 0 69 76 43 55 27
107 70 -1 41 70 62 9 71
97 35 3 5 5 36 54 91
60 42 35 -43 -79 -45 -10 40
12 94 26 -16 40 102 106 15
-90 -82 35 16 -16 -68 -68 -128
-38 -14 42 64 59 51 24 -128
24 16 8 2 -15 -29 -15 5
37 -62 -39 -28 50 4 38 39
119 -128 103 64 -5 -14 -12 1
32 36 -4 41 -128 -15 -16 14
-119 -119 -111 -21 21 -3 -85 -57
3 65 29 -128 -77 -128 -128 -44
58 -128 -128 -128 50 -128 10 17
-128 -128 58 1 -20 -40 -28 42
97 55 28 23 55 30 32 25
61 -128 52 -46 -96 -128 -128 9
66 -128 42 0 -59 -86 -58 -36
-128 94 101 -128 -128 -85 -128 -128
55 -128 46 42 55 -26 -12 52
-17 53 77 2 -8 -128 -128 -13
8 67 73 46 -128 -128 -36 -128
45 62 84 76 106 77 -11 8
-128 -128 18 -12 -89 -128 -59 -3
-28 -17 -29 54 52 15 0 -39
-13 -3 17 18 9 9 -6 -16
-29 11 60 63 42 -10 -45 -59
-43 -21 12 47 72 63 30 -35
-12 40 64 49 -42 -128 -34 -27
-128 -128 89 -128 -128 -128 -128 -128
59 41 -5 49 69 40 9 42
-21 -128 -128 3 24 -54 -128 -44
56 62 59 52 -128 -128 -128 2
2 -2 -2 -24 -32 -22 1 0
-128 -128 -128 22 -128 -128 -128 0
-1 -55 -72 -76 -50 -87 -128 -128
51 -128 52 -11 -59 -107 -81 -47
1 3 18 28 25 3 4 -5
19 14 13 3 -4 -15 -5 0
-37 -25 49 46 35 6 -6 -32
-64 -50 -35 29 51 50 31 -34
@ 782917965 60
8 29 35 36 24 -128 -128 -62
8 -4 -5 -13 2 23 104 58
-9 38 86 62 -128 -128 39 59
2 4 30 49 29 2 -2 -2
-32 -15 0 32 52 52 54 -5
99 53 22 -2 -128 40 24 69
-44 -91 0 43 0 -62 -128 -128
3 7 28 67 71 99 -128 -128
1 -15 -24 -128 -128 32 42 15
-51 -53 4 -10 18 7 -37 -38
0 34 44 27 53 54 57 -30
72 68 39 24 -8 0 19 51
-128 -128 -128 -22 -18 38 20 -101
-128 -128 -128 -128 -15 -128 -128 -128
-31 24 27 26 24 41 -128 19
29 -128 57 0 -47 -21 0 20
-128 -59 -62 -29 -44 -34 -128 -56
-50 -128 -128 -47 -86 -128 -19 -37
-60 14 10 24 30 21 56 1
-27 -52 34 35 18 58 49 -14
-34 -128 1 -28 -17 52 50 -11
59 -128 -128 49 38 25 21 18
46 60 65 52 37 -12 -28 -14
-9 5 44 81 31 3 -6 -11
20 -19 -23 -27 22 -128 -128 0
-32 -41 -5 29 29 13 20 -19
40 8 17 -18 -21 -30 -25 -15
29 29 35 34 25 -3 -16 -13
55 -128 -128 55 55 -81 -79 -23
41 0 -9 -44 -41 44 45 57
28 15 -45 45 62 40 39 47
21 66 -128 -128 -128 75 80 -23
-70 -128 -46 50 49 62 59 -12
-15 -1 28 -12 -23 4 4 -18
33 -128 3 -69 -46 -7 -16 12
39 73 63 -2 -1 -15 -70 -64
-15 -29 -29 7 67 -128 71 -5
39 60 58 39 14 47 30 39
-128 -128 -128 -128 -128 -128 21 -4
44 26 48 34 41 10 -3 -40
27 5 0 0 11 -1 -24 0
37 5 -37 -58 -73 -40 8 26
23 -39 -8 -60 36 22 -4 -15
-6 -27 4 41 43 -34 -4 -5
59 49 37 -128 -128 -128 57 66
-8 18 -128 -128 4 -9 -15 -16
14 68 35 5 22 7 0 -60
-99 18 50 -128 -128 -128 -128 20
-128 -128 -5 -53 -67 -48 24 7
6 -128 -60 8 18 -128 -128 -128
8 50 50 -11 -6 -42 -57 -11
96 -128 91 9 9 -59 -10 59
-128 85 -19 -1 38 50 26 93
24 -15 -37 -63 -49 -128 -128 -63
26 52 37 14 8 -43 -44 7
43 25 -34 -128 -44 -3 17 34
65 23 -11 12 -45 -128 -69 0
26 49 21 1 -2 -5 -1 41
46 38 -128 -128 -128 -31 19 -51
29 81 106 18 15 -18 -40 -7
@ 797781440 60
-7 -18 -21 -1 12 -8 -8 -12
-128 -128 6 34 53 -23 -128 -128
6 4 8 3 -57 -128 -36 -5
15 0 -1 -7 7 -2 -1 3
-1 -2 1 -24 -128 -27 10 -23
25 15 29 -128 -128 46 55 21
-5 -7 -42 -128 -49 -38 -7 -5
-128 -128 -128 1 6 10 -128 -128
10 -128 -47 -39 10 14 15 5
83 -128 -128 -128 -128 3 -128 -128
-128 -128 -128 -6 -7 -128 -128 -128
-8 -5 8 -7 -60 -128 -128 -9
-128 -128 -128 -128 -128 -128 -128 -128
-128 -128 -128 -128 8 10 19 -18
58 -128 -128 -128 42 -128 -128 24
-128 -29 5 3 10 0 -128 -128
64 48 -7 -67 -50 -33 -11 12
79 74 -128 -128 18 15 -128 -128
72 61 72 -128 -128 -128 -87 -15
-128 -10 6 17 47 16 25 -128
28 0 5 -59 -26 16 -8 -128
25 51 24 51 -128 72 57 -4
-128 -128 -128 -128 -128 71 75 59
-25 59 -128 -128 -128 7 -36 -70
-6 -6 -13 -128 -128 53 12 -128
85 -128 -128 -128 -128 -128 -128 -128
-128 -128 -128 -128 -128 -128 0 -128
3 -20 -21 -1 -2 7 19 3
-128 2 4 56 34 -128 4 -64
15 5 -5 -128 -112 -128 4 13
-128 -128 60 81 -128 -128 -128 -128
10 -128 -128 92 -128 17 31 -44
-11 -9 -13 -68 -128 -69 -30 -6
-1 -128 -14 -6 -10 -14 -28 -17
88 78 107 -128 -128 -29 -48 -128
-128 -128 -128 -128 -128 -128 -128 -128
0 0 0 29 75 13 -11 -128
72 -128 -128 20 29 -128 -128 -128
-128 -128 -128 21 3 -128 -128 -32
-1 8 34 -1 -128 -128 -83 -50
64 -128 -128 0 -128 -128 -128 0
15 -128 21 -128 -128 -128 74 -128
-32 -27 -1 9 13 -26 -25 -27
0 -128 -128 -128 22 23 -128 -128
12 -13 28 -128 -10 -103 -128 -30
-128 -128 -128 -16 -21 -24 -128 -128
-128 -128 -22 -128 -128 27 29 -128
-43 -43 -3 0 4 3 -42 -75
22 -26 4 -2 -128 -128 -128 -128
-128 7 -128 -128 -128 -128 -128 -128
-34 -128 -128 -59 -3 6 7 -21
47 46 44 28 -8 -20 -128 -128
-128 -128 29 21 26 -33 -22 -128
49 64 -128 -128 23 42 -128 -128
68 113 119 -128 -8 -128 -128 62
22 20 -63 -128 19 -7 -2 -128
-128 -128 -69 -59 -9 7 15 -14
65 61 -128 -128 -128 30 -128 -128
-128 -128 -128 64 -128 -128 -69 -128
5 0 4 -20 -128 -128 -96 -40
@ 800023806 60
40 37 31 -23 -20 -13 25 32
18 -3 -14 -31 -7 23 42 39
35 53 49 40 4 -87 -88 -18
33 25 47 44 -54 -128 10 25
14 -17 -21 -23 -38 -44 -33 -12
25 5 55 -128 68 10 13 17
21 3 -3 -3 7 7 12 16
0 1 0 -13 -3 0 -8 -2
1 -25 -60 -15 -8 2 7 3
14 36 27 14 12 -16 -46 -27
-25 -21 -4 -5 5 6 -4 -25
-19 -72 -42 -9 13 16 20 0
-128 -128 45 -24 -20 -13 3 -128
3 2 44 -5 17 0 2 1
2 -10 -13 -8 7 9 9 11
22 12 -24 -33 -16 0 14 30
14 -6 -7 -27 -11 23 31 31
10 -3 -7 -10 -10 -10 2 9
-34 0 7 14 21 17 -26 -49
15 8 -7 -10 -1 -9 -3 10
18 -128 -7 -10 31 61 44 -128
2 -128 40 4 28 -128 32 -1
2 0 9 52 17 10 2 2
-128 -57 18 32 32 15 12 -128
-4 -2 0 -5 -3 -1 1 1
-1 -11 -4 -8 -16 -21 -13 -2
-17 -23 -8 -8 -22 -18 -17 -22
44 -22 44 -128 -128 36 38 38
-21 -44 -32 -28 -2 -9 1 -3
70 1 45 54 20 -29 -21 -128
5 5 19 7 -25 -57 3 0
-19 -23 -29 0 -3 -20 -26 -13
19 25 11 21 0 -50 -60 0
51 -2 10 35 47 -23 11 -128
-18 -13 -6 14 17 12 -9 -15
-3 0 3 -7 -14 -9 16 9
17 22 25 -2 -128 -128 -90 -8
-42 -128 -128 -65 -41 2 -20 -12
-12 -5 12 14 8 -4 -8 -13
-46 -128 -128 -128 18 -3 -8 -29
-9 -4 -128 -30 -128 -4 4 -4
3 -12 -75 -128 -128 0 18 13
-128 -8 6 26 28 23 -1 -128
3 11 3 -128 -128 -59 2 2
-16 -23 -23 -2 10 0 -33 -29
-18 -4 17 10 28 5 -9 -42
25 31 55 79 -128 -128 -128 6
29 17 26 11 -18 -7 6 12
10 66 71 21 -2 -12 -12 -20
10 -9 -12 -18 -15 1 55 45
-2 -7 -6 59 53 29 23 4
0 54 -128 38 5 -7 -35 -26
-15 -27 -32 -3 13 20 22 4
20 13 4 -8 -12 -6 13 18
-36 -34 2 11 19 25 27 20
10 13 6 -8 -7 -7 -10 -8
-19 -10 23 57 62 44 2 -26
-27 25 25 11 -55 -128 -128 -128
4 -3 -5 -6 -6 3 34 15
-4 -3 -7 43 69 102 56 2
@ 803203608 41
-128 -128 -10 -11 -128 2 16 -128
16 16 17 13 0 -14 -10 -6
2 4 8 0 2 -1 1 0
-1 2 6 3 -1 -2 -1 -3
15 -128 -128 -6 14 -128 -128 26
46 15 -23 -50 -59 -31 -27 40
16 -128 0 6 17 -128 -128 5
-5 4 30 33 34 0 -45 -84
-128 -128 -50 -128 -128 -2 8 17
-12 -5 5 9 9 -12 -15 -6
-12 -15 -9 -12 1 15 29 -3
4 -21 -13 -5 12 23 8 24
15 -128 70 -1 -18 -18 -5 83
-5 -23 -12 25 -31 -128 2 -6
-128 -128 28 14 -128 -6 -27 -128
24 21 9 24 8 -2 -4 -4
-3 1 19 2 -5 11 14 11
-4 -4 -2 15 15 -12 5 -8
3 17 27 16 9 -5 -23 -21
24 23 11 -6 -1 -8 -13 1
2 2 1 -1 4 -8 -78 -5
-128 0 17 27 -128 -128 17 4
-128 -128 34 20 8 -12 -15 -44
19 18 11 -5 -128 -6 -1 3
27 13 -11 -23 4 0 19 32
-25 7 10 6 12 2 -67 -128
-18 7 14 13 12 -128 -128 -128
-4 0 3 4 2 1 -1 -5
7 0 7 -30 0 -128 -128 -18
-6 -10 2 22 19 2 10 -13
21 -128 -128 1 21 -128 -128 13
77 12 12 -128 97 -128 -47 -57
17 -128 92 73 -128 -128 14 4
12 -14 -8 -8 -34 -128 -128 -40
1 -1 -8 -9 3 24 22 4
-128 -128 -128 53 -128 -128 -49 -49
17 -3 -128 0 31 -12 11 32
-128 -128 8 -5 -128 -128 -128 29
78 74 55 83 -128 -32 -128 -128
-19 -128 -9 -55 -6 -9 1 3
-2 -17 24 5 38 -3 48 -2
@ 803380078 54
-4 -8 -4 -3 2 21 15 -5
2 -2 0 -128 -54 -4 -1 -2
0 0 1 4 4 2 0 1
1 6 6 -19 -10 -1 4 -2
-13 48 50 -128 -128 -128 -7 -11
-7 -2 10 -128 -128 -8 -8 -16
8 17 11 4 -28 -128 -28 4
-18 -33 -53 -39 -74 -11 -128 -128
-7 -6 -8 -6 9 -30 10 -9
96 2 2 2 -16 -38 -34 27
20 5 1 -61 -65 -35 -3 22
-7 -128 -43 -43 -128 -128 47 -128
39 22 7 7 15 -128 -128 -128
32 66 70 0 -1 2 1 -3
-128 -128 -128 -128 -128 0 59 46
10 -1 -5 -3 0 6 44 14
-72 -44 55 -3 5 -42 -42 -21
-128 -128 -128 -128 -7 -40 -40 -128
113 -128 -128 79 22 29 -128 1
32 -21 -22 -37 -35 -6 47 40
1 5 34 24 28 -1 4 4
17 -83 -33 -13 17 37 67 -128
29 -128 14 -128 -45 -128 -128 -128
23 14 22 31 19 8 11 5
-8 14 -128 -128 -128 5 -12 -11
13 9 13 -5 -6 -34 -48 -41
69 52 88 1 -1 16 49 46
35 98 104 41 -128 -128 -89 -113
109 -128 61 23 -30 -22 0 16
60 18 11 5 -10 -128 -128 57
52 41 13 -128 -128 -128 -128 55
21 10 -5 -128 -128 -19 -2 33
74 11 -15 -53 -26 13 51 80
85 76 -128 -19 61 -74 -50 -53
0 -1 -1 -2 -1 -1 -1 -2
62 60 24 17 -14 -7 -5 16
8 -11 -11 -18 -39 -128 -128 5
-19 -96 -102 30 16 25 16 -1
-128 60 -128 -128 8 71 -128 -128
19 37 -1 3 3 -23 -16 -12
-128 87 22 30 3 -55 -128 -128
11 4 25 1 0 2 5 3
70 -5 55 5 110 88 -128 -128
5 30 4 -1 1 -6 -4 1
-1 2 7 -128 -128 -128 8 7
-52 52 56 -2 -33 -128 -16 -72
-128 -128 -128 -128 -57 -128 -108 -60
-36 92 93 13 34 -12 9 -60
45 -128 45 -40 -18 -128 -128 41
-6 -29 -17 -19 -15 -17 17 -4
-7 -7 12 13 55 -128 -128 -128
-6 -21 -15 -128 -128 -128 -128 -44
-9 -18 -29 -46 -33 70 74 -32
15 35 23 26 73 -128 -128 70
@ 818084370 24
-128 4 14 15 15 0 -128 -128
0 34 43 -23 0 -128 -128 -128
3 3 8 -19 -18 -12 -3 2
111 62 53 5 -8 -22 15 23
-97 -128 -128 -49 -40 -128 -19 -37
49 0 20 0 0 31 0 2
-75 -28 -2 -60 -55 -83 -97 -104
-22 -30 -13 -57 -17 -9 14 -14
-27 -9 -38 18 -15 -72 -77 -128
40 22 33 8 20 37 69 79
-128 -128 -128 -128 -2 42 -128 44
-128 -128 14 -30 4 27 21 -128
-1 -2 46 20 29 13 -11 -128
-20 -128 -128 -128 -128 2 15 -9
40 47 69 39 -16 -70 -81 -20
-44 -9 -2 19 -8 1 -128 -128
