scrapItemTypeId	scrapName	tierKey	tier	yieldItemTypeId	amount	quality
scrapItem-skullofimhorta	Skull of Imhorta	4.1	4	silver	100	9
scrapItem-skyshipmooringcapstan	Skyship Mooring Capstan	2	2	steel	80	4
scrapItem-skyshipmooringcapstan	Skyship Mooring Capstan	3	3	steel	80	5
scrapItem-skyshipmooringcapstan	Skyship Mooring Capstan	4	4	steel	80	8
scrapItem-smallplate	Small Plate	1	1	tin	80	6
scrapItem-smallplate	Small Plate	4	4	tin	80	8
scrapItem-smalltable	Small Table	1	1	iron	100	7
scrapItem-smalltable	Small Table	1.1	1	elm	50	7
scrapItem-smashedcymbal	Smashed Cymbal	2	2	gold	60	8
scrapItem-smashedcymbal	Smashed Cymbal	3	3	gold	60	6
scrapItem-smashedcymbal	Smashed Cymbal	4	4	gold	60	10
scrapItem-steamboatenginescrap	Steamboat Engine Scrap	4	4	iron	250	10
scrapItem-steamboatenginescrap	Steamboat Engine Scrap	4.1	4	nickel	150	10
scrapItem-steamboatenginescrap	Steamboat Engine Scrap	4.2	4	fuel	50	0
scrapItem-steamboathogchain	Steamboat Hog Chain	1	1	copper	100	3
scrapItem-steamboathogchain	Steamboat Hog Chain	2	2	copper	100	5
scrapItem-steamboathogchain	Steamboat Hog Chain	4	4	copper	100	8
scrapItem-steamboatwheelblades	Steamboat Wheel Blades	4	4	iron	200	9
scrapItem-steamboatwheelblades	Steamboat Wheel Blades	4.1	4	bronze	300	9
scrapItem-steamerstack	Steamer Stack	2	2	tin	300	6
scrapItem-steamerstack	Steamer Stack	4	4	tin	300	8
scrapItem-swordblade	Sword Blade	1	1	bronze	90	7
scrapItem-swordblade	Sword Blade	2	2	bronze	90	6
scrapItem-swordblade	Sword Blade	3	3	bronze	90	6
scrapItem-swordhilt	Sword Hilt	1	1	chestnut	85	4
scrapItem-swordhilt	Sword Hilt	2	2	chestnut	85	8
scrapItem-swordhilt	Sword Hilt	3	3	chestnut	85	8
scrapItem-tackyornament	Tacky Ornament	1	1	silver	65	3
scrapItem-tackyornament	Tacky Ornament	2	2	silver	65	7
scrapItem-tackyornament	Tacky Ornament	4	4	silver	65	9
scrapItem-tapestry	Tapestry	4	4	chestnut	149	9
scrapItem-ternanuantoggle	Ternanuan Thread Spool	4	4	titanium	70	8
scrapItem-ternanuantoggle2	Ternanuan Toggle	1	1	titanium	60	7
scrapItem-ternanuantoggle2	Ternanuan Toggle	4	4	titanium	60	8
scrapItem-tincan	Tin Can	1	1	tin	60	4
scrapItem-tincan	Tin Can	2	2	tin	60	8
scrapItem-tincan	Tin Can	3	3	tin	60	8
scrapItem-tonkingpuck	Tonking Puck	2	2	aluminium	45	6
scrapItem-tonkingpuck	Tonking Puck	3	3	aluminium	45	5
scrapItem-tonkingpuck	Tonking Puck	4	4	aluminium	45	10
scrapItem-ululatinghornofbargojiu	Ululating Horn of Bargo Jiu	4	4	tungsten	90	8
scrapItem-vinylplayer	Vinyl Player	4	4	nickel	100	10
scrapItem-vinylplayer	Vinyl Player	4.1	4	copper	30	10
scrapItem-warlockbijouxbureau	Warlock's Bijoux Bureau	1	1	oak	15	7
scrapItem-warlocksilverwhistle	Warlock's Silver Whistle	4	4	silver	400	7
scrapItem-washer	Iron Washer	1	1	iron	85	6
scrapItem-washer	Iron Washer	2	2	iron	85	8
scrapItem-watergujimarketawning	Waterguji Market Awning	1	1	cedar	300	4
scrapItem-watergujimarketawning	Waterguji Market Awning	2	2	cedar	300	8
scrapItem-wolftoken	Wolf Token	4	4	silver	250	10
scrapItem-woodenbowl	Wooden Bowl	1	1	chestnut	85	4
scrapItem-woodenbowl	Wooden Bowl	2	2	chestnut	85	8
scrapItem-woollenquilt	Woollen Quilt	4	4	ash	140	9
scrapItemselenistswoodenorrery	Selenists Wooden Orrery	4	4	palm	140	10
