,Material,Quality,Cannon Shots,Large Panel Kg,Kg Per Shot
,Aluminum,1,,10.4,=ROUND(E2/D2;2),Early Access 0.2.2.1
,Lead,3,,24,=ROUND(E54/D54;2)
,Lead,4,11,24,=ROUND(E55/D55;2)
,Lead,5,,24,=ROUND(E56/D56;2)
,Lead,6,,24,=ROUND(E57/D57;2)
,Lead,7,,24,=ROUND(E58/D58;2)
,Lead,8,,24,=ROUND(E59/D59;2)
,Lead,9,,24,=ROUND(E60/D60;2)
,Lead,10,,24,=ROUND(E61/D61;2)
,Nickel,1,,18.4,=ROUND(E62/D62;2)
,Nickel,2,,18.4,=ROUND(E63/D63;2)
,Nickel,3,12,18.4,=ROUND(E64/D64;2)
,Nickel,4,,18.4,=ROUND(E65/D65;2)
,Nickel,5,,18.4,=ROUND(E66/D66;2)
,Nickel,6,,18.4,=ROUND(E67/D67;2)
,Nickel,7,,18.4,=ROUND(E68/D68;2)
,Nickel,8,,18.4,=ROUND(E69/D69;2)
,Nickel,9,,18.4,=ROUND(E70/D70;2)
,Nickel,10,,18.4,=ROUND(E71/D71;2)
,Silver,1,,22,=ROUND(E72/D72;2)
,Silver,2,,22,=ROUND(E73/D73;2)
,Silver,3,,22,=ROUND(E74/D74;2)
,Silver,4,,22,=ROUND(E75/D75;2)
,Silver,5,,22,=ROUND(E76/D76;2)
,Silver,6,,22,=ROUND(E77/D77;2)
,Silver,7,,22,=ROUND(E78/D78;2)
,Silver,8,,22,=ROUND(E79/D79;2)
,Silver,9,,22,=ROUND(E80/D80;2)
,Silver,10,,22,=ROUND(E81/D81;2)
,Steel,1,,16,=ROUND(E82/D82;2)
,Steel,2,,16,=ROUND(E83/D83;2)
,Steel,3,,16,=ROUND(E84/D84;2)
,Steel,4,,16,=ROUND(E85/D85;2)
,Steel,5,15,16,=ROUND(E86/D86;2)
,Steel,6,,16,=ROUND(E87/D87;2)
,Steel,7,,16,=ROUND(E88/D88;2)
,Steel,8,14,16,=ROUND(E89/D89;2)
,Steel,9,,16,=ROUND(E90/D90;2)
,Steel,10,,16,=ROUND(E91/D91;2)
,Tin,1,,13.6,=ROUND(E92/D92;2)
,Tin,2,12,13.6,=ROUND(E93/D93;2)
,Tin,3,,13.6,=ROUND(E94/D94;2)
,Tin,4,,13.6,=ROUND(E95/D95;2)
,Tin,5,,13.6,=ROUND(E96/D96;2)
,Tin,6,,13.6,=ROUND(E97/D97;2)
,Tin,7,,13.6,=ROUND(E98/D98;2)
,Tin,8,,13.6,=ROUND(E99/D99;2)
,Tin,9,,13.6,=ROUND(E100/D100;2)
,Tin,10,,13.6,=ROUND(E101/D101;2)
,Titanium,1,,12,=ROUND(E102/D102;2)
,Titanium,2,,12,=ROUND(E103/D103;2)
,Titanium,3,,12,=ROUND(E104/D104;2)
,Titanium,4,,12,=ROUND(E105/D105;2)
,Titanium,5,,12,=ROUND(E106/D106;2)
,Titanium,6,,12,=ROUND(E107/D107;2)
,Titanium,7,,12,=ROUND(E108/D108;2)
,Titanium,8,,12,=ROUND(E109/D109;2)
,Titanium,9,,12,=ROUND(E110/D110;2)
,Titanium,10,15,12,=ROUND(E111/D111;2)
,Tungsten,1,,32,=ROUND(E112/D112;2)
,Tungsten,2,,32,=ROUND(E113/D113;2)
,Tungsten,3,,32,=ROUND(E114/D114;2)
,Tungsten,4,,32,=ROUND(E115/D115;2)
,Tungsten,5,,32,=ROUND(E116/D116;2)
,Tungsten,6,,32,=ROUND(E117/D117;2)
,Tungsten,7,,32,=ROUND(E118/D118;2)
,Tungsten,8,,32,=ROUND(E119/D119;2)
,Tungsten,9,,32,=ROUND(E120/D120;2)
,Tungsten,10,,32,=ROUND(E121/D121;2)

,Hemlock,1,,6.8,=ROUND(E123/D123;2)
,Hemlock,2,,6.8,=ROUND(E124/D124;2)
,Hemlock,3,,6.8,=ROUND(E125/D125;2)
,Hemlock,4,,6.8,=ROUND(E126/D126;2)
,Hemlock,5,,6.8,=ROUND(E127/D127;2)
,Hemlock,6,,6.8,=ROUND(E128/D128;2)
,Hemlock,7,,6.8,=ROUND(E129/D129;2)
,Hemlock,8,,6.8,=ROUND(E130/D130;2)
,Hemlock,9,,6.8,=ROUND(E131/D131;2)
,Hemlock,10,,6.8,=ROUND(E132/D132;2)
,Cedar,1,,6,=ROUND(E133/D133;2)
,Cedar,2,,6,=ROUND(E134/D134;2)
,Cedar,3,,6,=ROUND(E135/D135;2)
,Cedar,4,,6,=ROUND(E136/D136;2)
,Cedar,5,,6,=ROUND(E137/D137;2)
,Cedar,6,10,6,=ROUND(E138/D138;2)
,Cedar,7,,6,=ROUND(E139/D139;2)
,Cedar,8,,6,=ROUND(E140/D140;2)
,Cedar,9,,6,=ROUND(E141/D141;2)
,Cedar,10,,6,=ROUND(E142/D142;2)
,Birch,1,,9.6,=ROUND(E143/D143;2)
,Birch,2,,9.6,=ROUND(E144/D144;2)
,Birch,3,,9.6,=ROUND(E145/D145;2)
,Birch,4,,9.6,=ROUND(E146/D146;2)
,Birch,5,,9.6,=ROUND(E147/D147;2)
,Birch,6,12,9.6,=ROUND(E148/D148;2)
,Birch,7,,9.6,=ROUND(E149/D149;2)
,Birch,8,,9.6,=ROUND(E150/D150;2)
,Birch,9,,9.6,=ROUND(E151/D151;2)
,Birch,10,,9.6,=ROUND(E152/D152;2)
,Elm,1,,8.8,=ROUND(E153/D153;2)
,Elm,2,,8.8,=ROUND(E154/D154;2)
,Elm,3,,8.8,=ROUND(E155/D155;2)
,Elm,4,,8.8,=ROUND(E156/D156;2)
,Elm,5,,8.8,=ROUND(E157/D157;2)
,Elm,6,,8.8,=ROUND(E158/D158;2)
,Elm,7,,8.8,=ROUND(E159/D159;2)
,Elm,8,,8.8,=ROUND(E160/D160;2)
,Elm,9,,8.8,=ROUND(E161/D161;2)
,Elm,10,,8.8,=ROUND(E162/D162;2)
,Oak,1,,11.2,=ROUND(E163/D163;2)
,Oak,2,,11.2,=ROUND(E164/D164;2)
,Oak,3,,11.2,=ROUND(E165/D165;2)
,Oak,4,,11.2,=ROUND(E166/D166;2)
,Oak,5,,11.2,=ROUND(E167/D167;2)
,Oak,6,,11.2,=ROUND(E168/D168;2)
,Oak,7,,11.2,=ROUND(E169/D169;2)
,Oak,8,,11.2,=ROUND(E170/D170;2)
,Oak,9,,11.2,=ROUND(E171/D171;2)
,Oak,10,,11.2,=ROUND(E172/D172;2)
,Ash,1,,10.4,=ROUND(E173/D173;2)
,Ash,2,,10.4,=ROUND(E174/D174;2)
,Ash,3,,10.4,=ROUND(E175/D175;2)
,Ash,4,,10.4,=ROUND(E176/D176;2)
,Ash,5,,10.4,=ROUND(E177/D177;2)
,Ash,6,,10.4,=ROUND(E178/D178;2)
,Ash,7,,10.4,=ROUND(E179/D179;2)
,Ash,8,,10.4,=ROUND(E180/D180;2)
,Ash,9,,10.4,=ROUND(E181/D181;2)
,Ash,10,,10.4,=ROUND(E182/D182;2)
,Palm,1,,,=ROUND(E183/D183;2)
,Palm,2,,,=ROUND(E184/D184;2)
,Palm,3,,,=ROUND(E185/D185;2)
,Palm,4,,,=ROUND(E186/D186;2)
,Palm,5,,,=ROUND(E187/D187;2)
,Palm,6,,,=ROUND(E188/D188;2)
,Palm,7,,,=ROUND(E189/D189;2)
,Palm,8,,,=ROUND(E190/D190;2)
,Palm,9,,,=ROUND(E191/D191;2)
,Palm,10,,,=ROUND(E192/D192;2)
,Chestnut,1,,7.6,=ROUND(E193/D193;2)
,Chestnut,2,,7.6,=ROUND(E194/D194;2)
,Chestnut,3,,7.6,=ROUND(E195/D195;2)
,Chestnut,4,,7.6,=ROUND(E196/D196;2)
,Chestnut,5,,7.6,=ROUND(E197/D197;2)
,Chestnut,6,,7.6,=ROUND(E198/D198;2)
,Chestnut,7,,7.6,=ROUND(E199/D199;2)
,Chestnut,8,,7.6,=ROUND(E200/D200;2)
,Chestnut,9,,7.6,=ROUND(E201/D201;2)
,Chestnut,10,,7.6,=ROUND(E202/D202;2)
